article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
0930405001,0930405,Ghost L/S,265,Dress,Garment Full body,1010026,Other structure,52,Pink,1,Dusty Light,4,Pink,1322,Dress,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1013,Dresses Ladies,"Calf-length dress in a jacquard weave with a round neckline, opening with a covered button at the back of the neck and long, raglan balloon sleeves with narrow trims and a button at the cuffs. Seam at the waist with a double drawstring and narrow ties, and a flared skirt with a tier. Jersey lining."
0930405002,0930405,Ghost L/S,265,Dress,Garment Full body,1010026,Other structure,92,Green,2,Medium Dusty,20,Khaki green,1322,Dress,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1013,Dresses Ladies,"Calf-length dress in a jacquard weave with a round neckline, opening with a covered button at the back of the neck and long, raglan balloon sleeves with narrow trims and a button at the cuffs. Seam at the waist with a double drawstring and narrow ties, and a flared skirt with a tier. Jersey lining."
0930409001,0930409,Grin Cargo Jogger 29.99:-,272,Trousers,Garment Lower body,1010014,Placement print,09,Black,4,Dark,5,Black,5882,Jersey Fancy,F,Menswear,3,Menswear,55,Contemporary Street,1005,Jersey Fancy,"Joggers in sturdy sweatshirt fabric made from recycled polyester and cotton. Elasticated, drawstring waist, discreet side pockets, leg pockets with a taped zip, and tapered legs with cuffed hems."
0930409003,0930409,Grin Cargo Jogger 29.99:-,272,Trousers,Garment Lower body,1010014,Placement print,13,Beige,2,Medium Dusty,11,Beige,5882,Jersey Fancy,F,Menswear,3,Menswear,55,Contemporary Street,1005,Jersey Fancy,"Joggers in sturdy sweatshirt fabric made from recycled polyester and cotton. Elasticated, drawstring waist, discreet side pockets, leg pockets with a taped zip, and tapered legs with cuffed hems."
0930486001,0930486,Dorothy check coat,263,Coat,Garment Upper body,1010004,Check,33,Dark Orange,2,Medium Dusty,13,Brown,1201,Outwear,A,Ladieswear,1,Ladieswear,19,Womens Jackets,1007,Outdoor,"Fitted coat in a soft, felted wool blend with notch lapels and fastenings at the front with one visible and one concealed button. Pockets in the side seams and a single back vent. Lined."
0930578001,0930578,Dog Totto knitted,521,Dog wear,Items,1010026,Other structure,12,Light Beige,1,Dusty Light,11,Beige,3419,Other items,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Jumper for a dog in a soft cable knit with a polo neck, ribbing around the front legs and openings for the back legs. The polyester content of the jumper is recycled."
0930757003,0930757,Shore dress,265,Dress,Garment Full body,1010001,All over pattern,09,Black,4,Dark,5,Black,1641,Jersey,A,Ladieswear,1,Ladieswear,18,Womens Trend,1005,Jersey Fancy,"Long, V-neck dress in jersey with long sleeves and a seam with pleats at the waist. Unlined."
0930767002,0930767,Fancy nancy,254,Top,Garment Upper body,1010017,Stripe,11,Off White,1,Dusty Light,9,White,2032,Jersey,A,Ladieswear,1,Ladieswear,8,Mama,1005,Jersey Fancy,"Fitted top in soft, organic cotton jersey with a round neckline and long puff sleeves. Gathers in the sides for best fit over the tummy."
0930796001,0930796,HAMPTONS NECKLACE,70,Earring,Accessories,1010009,Glittering/Metallic,05,Gold,5,Bright,15,Metal,3946,Small Accessories,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Three-strand necklace with metal chains and plastic beads. One of the chains has an embossed metal pendant. Adjustable length.
0930814001,0930814,Cool Vovve earcuff pk,70,Earring,Accessories,1010016,Solid,05,Gold,5,Bright,15,Metal,4345,Jewellery Extended,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Set with metal earrings and ear cuffs in various designs. Four pairs of studs, one pair of hoop earrings and one pair of earrings with pendants that spell out the word LOVE. Two ear cuffs."
0930829001,0930829,Cool Matcha earcuff pk,70,Earring,Accessories,1010016,Solid,05,Gold,5,Bright,15,Metal,4345,Jewellery Extended,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Metal earrings and ear cuffs in various designs. The zinc in the metal is recycled.
0930866001,0930866,Class Truth hoop,70,Earring,Accessories,1010016,Solid,05,Gold,5,Bright,15,Metal,4345,Jewellery Extended,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,A pair of metal earrings.
0930866002,0930866,Class Truth hoop,70,Earring,Accessories,1010016,Solid,03,Silver,3,Light,15,Metal,4345,Jewellery Extended,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,A pair of metal earrings.
0930919002,0930919,Tobi WL Sneaker,94,Sneakers,Shoes,1010016,Solid,09,Black,4,Dark,5,Black,3828,Sneakers,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,Warm-lined boots in quilted nylon with imitation leather sections and a hook and loop fastening at one side. Soft faux fur linings and insoles and fluted soles.
0931028001,0931028,BUTTER LS jersey polo shirt,257,Polo shirt,Garment Upper body,1010016,Solid,09,Black,4,Dark,5,Black,5831,Knitwear,F,Menswear,3,Menswear,23,Men Suits & Tailoring,1003,Knitwear,"Long-sleeved polo shirt in premium cotton jersey with a ribbed collar, button placket and short slits in the sides."
0931028002,0931028,BUTTER LS jersey polo shirt,257,Polo shirt,Garment Upper body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,5831,Knitwear,F,Menswear,3,Menswear,23,Men Suits & Tailoring,1003,Knitwear,"Long-sleeved polo shirt in premium cotton jersey with a ribbed collar, button placket and short slits in the sides."
0931052001,0931052,Lourdes,254,Top,Garment Upper body,1010016,Solid,09,Black,4,Dark,5,Black,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,Fitted polo-neck top in ribbed jersey with a cut-out section at the back and long sleeves.
0931052003,0931052,Lourdes,254,Top,Garment Upper body,1010016,Solid,13,Beige,1,Dusty Light,1,Mole,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,Fitted polo-neck top in ribbed jersey with a cut-out section at the back and long sleeves.
0931070001,0931070,Cool Danne bracelet,68,Bracelet,Accessories,1010016,Solid,05,Gold,5,Bright,15,Metal,4345,Jewellery Extended,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Metal chain bracelet with shimmering metallic pendants in plastic. Adjustable length.
0931091001,0931091,Fluffy scrunchie pack,73,Hair string,Accessories,1010016,Solid,09,Black,4,Dark,5,Black,4343,Hair Accessories,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Elasticated scrunchies in soft faux fur.
0931181001,0931181,PU ponytail,73,Hair string,Accessories,1010016,Solid,09,Black,4,Dark,5,Black,4343,Hair Accessories,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Hair elastic with an imitation leather cuff to add style and character to your ponytail.
0931182001,0931182,Kylie aliceband,74,Hair/alice band,Accessories,1010001,All over pattern,09,Black,4,Dark,5,Black,4343,Hair Accessories,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Lightly padded fabric Alice band decorated with pearly plastic beads and plastic rhinestones.
0931183001,0931183,Shirley collar,78,Other accessories,Accessories,1010016,Solid,10,White,3,Light,9,White,4343,Hair Accessories,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Large collar in woven fabric with a small broderie anglaise frill trim and a concealed button at the front. Lined.
0931235001,0931235,Gemma Chunky Sneaker,94,Sneakers,Shoes,1010016,Solid,19,Greenish Khaki,4,Dark,20,Khaki green,3828,Sneakers,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,Trainers in imitation leather and imitation suede with mesh sections. Padded edge and tongue and lacing at the front. Mesh linings made from recycled polyester and imitation leather insoles. Chunky soles.
0931282001,0931282,Aussie Mabel HW Jogger,272,Trousers,Garment Lower body,1010014,Placement print,09,Black,4,Dark,5,Black,4090,Promotion/ Other /Offer,D,Divided,2,Divided,50,Divided Projects,1023,Special Offers,"Kangol x H&M. Joggers in sweatshirt fabric made from a cotton and recycled polyester blend. High, elasticated waist, a print motif on the front, side pockets, and elastication at the hems."
0931299001,0931299,Climate trekking pant,272,Trousers,Garment Lower body,1010005,Colour blocking,09,Black,4,Dark,5,Black,8558,Men Sport Tops,S,Sport,26,Sport,22,Men H&M Sport,1007,Outdoor,"Trousers in sturdy, fast-drying functional fabric with reinforced sections. Regular waist with belt loops, a zip fly and button and straight legs. Front pockets, a back pocket and leg pockets with a flap and concealed press-stud."
0931300001,0931300,Mallet Fleece Jkt,262,Jacket,Garment Upper body,1010014,Placement print,12,Light Beige,1,Dusty Light,11,Beige,8558,Men Sport Tops,S,Sport,26,Sport,22,Men H&M Sport,1007,Outdoor,"Sports jacket in thermal faux shearling with nylon sections. Stand-up collar, a zip down the front, a zipped chest pocket and zipped side pockets. Elasticated trims around the cuffs and hem."
0931300002,0931300,Mallet Fleece Jkt,262,Jacket,Garment Upper body,1010014,Placement print,09,Black,4,Dark,5,Black,8558,Men Sport Tops,S,Sport,26,Sport,22,Men H&M Sport,1007,Outdoor,"Sports jacket in thermal faux shearling with nylon sections. Stand-up collar, a zip down the front, a zipped chest pocket and zipped side pockets. Elasticated trims around the cuffs and hem."
0931335001,0931335,Aussie Mabel Shaka dress,265,Dress,Garment Full body,1010014,Placement print,09,Black,4,Dark,5,Black,4090,Promotion/ Other /Offer,D,Divided,2,Divided,50,Divided Projects,1023,Special Offers,"Kangol x H&M. Short, fitted dress in jersey made from a cotton blend. Narrow cut at the top with double-layered shoulder straps and a cut-out section at the front. Contrasting colour panels with a drawstring down the sides that ends at the hem."
0931349001,0931349,Polo Set..,270,Garment Set,Garment Full body,1010016,Solid,10,White,3,Light,9,White,6281,Bottoms Girls,S,Sport,26,Sport,49,Kids Sports,1001,Unknown,"Short-sleeved polo shirt and a pair of matching shorts in fast-drying functional fabric. Shirt with a collar, button placket and short slits in the sides. Longer at the back. Shorts with an elasticated, drawstring waist, and wide legs with short slits at the hems."
0931353001,0931353,Madonna Dress,265,Dress,Garment Full body,1010016,Solid,09,Black,4,Dark,5,Black,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,"Short, fitted dress in soft, ribbed viscose jersey with a polo neck, long sleeves and a large cut-out section at the back."
0931419001,0931419,Swirl top,254,Top,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1641,Jersey,A,Ladieswear,1,Ladieswear,18,Womens Trend,1005,Jersey Fancy,"Slightly shorter top with a bodice in soft jersey and sleeves in crisp cotton poplin. V-neck, a wrapover, draped front with a concealed zip in one side, and a square neckline at the back. Long puff sleeves with narrow, covered elastication around the shoulders and at the cuffs. Partly lined."
0931437001,0931437,4p ruffle scrunchie,73,Hair string,Accessories,1010012,Mixed solid/pattern,50,Other Pink,3,Light,4,Pink,4343,Hair Accessories,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Elasticated fabric scrunchies in various designs.
0931687001,0931687,PQ DENVER WOOL TRS,272,Trousers,Garment Lower body,1010010,Melange,15,Greyish Beige,2,Medium Dusty,1,Mole,1612,Jersey/Knitwear Premium,A,Ladieswear,1,Ladieswear,14,Womens Premium,1003,Knitwear,"Trousers in soft, rib-knit merino wool. High waist with covered elastication and gently flared legs."
0931696001,0931696,Dickens boot,87,Boots,Shoes,1010016,Solid,33,Dark Orange,2,Medium Dusty,13,Brown,3529,Boots,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,"Platform ankle boots in imitation leather with a zip in one side. Jersey linings made from recycled polyester, and imitation leather insoles. Heel 9.5 cm."
0931729004,0931729,Wagga HW wide full,272,Trousers,Garment Lower body,1010010,Melange,07,Grey,2,Medium Dusty,12,Grey,1722,Trouser,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1009,Trousers,"Suit trousers in woven fabric. High waist with covered elastication at the back and pleats at the front, a zip fly and concealed hook-and-eye fasteners. Diagonal front pockets, fake back pockets and wide, straight legs with creases."
0931769001,0931769,ED Madison Skinny HW,272,Trousers,Garment Lower body,1010016,Solid,09,Black,4,Dark,5,Black,1939,Woven bottoms,A,Ladieswear,1,Ladieswear,2,H&M+,1009,Trousers,"5-pocket jeans in washed, stretch cotton denim with a high waist, zip fly and slim legs."
0931769003,0931769,ED Madison Skinny HW,272,Trousers,Garment Lower body,1010023,Denim,08,Dark Grey,4,Dark,12,Grey,1939,Woven bottoms,A,Ladieswear,1,Ladieswear,2,H&M+,1009,Trousers,"5-pocket jeans in washed, stretch cotton denim with a high waist, zip fly and slim legs."
0931769004,0931769,ED Madison Skinny HW,272,Trousers,Garment Lower body,1010016,Solid,09,Black,4,Dark,5,Black,1939,Woven bottoms,A,Ladieswear,1,Ladieswear,2,H&M+,1009,Trousers,"5-pocket jeans in washed, stretch cotton denim with a high waist, zip fly and slim legs."
0931800003,0931800,Price Item Sweater 9.99:-,252,Sweater,Garment Upper body,1010014,Placement print,09,Black,4,Dark,5,Black,5882,Jersey Fancy,F,Menswear,3,Menswear,55,Contemporary Street,1005,Jersey Fancy,"Top in sweatshirt fabric made from a cotton blend with a round, rib-trimmed neckline, dropped shoulders, long sleeves and ribbing at the cuffs and hem. Soft brushed inside."
0931800004,0931800,Price Item Sweater 9.99:-,252,Sweater,Garment Upper body,1010014,Placement print,12,Light Beige,1,Dusty Light,11,Beige,5882,Jersey Fancy,F,Menswear,3,Menswear,55,Contemporary Street,1005,Jersey Fancy,"Top in sweatshirt fabric made from a cotton blend with a round, rib-trimmed neckline, dropped shoulders, long sleeves and ribbing at the cuffs and hem. Soft brushed inside."
0931819001,0931819,Athens,245,Cardigan,Garment Upper body,1010010,Melange,13,Beige,1,Dusty Light,11,Beige,2034,Knitwear,A,Ladieswear,1,Ladieswear,8,Mama,1003,Knitwear,"Cardigan in a soft, fine knit containing some wool. Wrapover front with visible ties at one side and concealed ties at the other. Dropped shoulders, long sleeves and ribbing at the cuffs and hem. The polyester content of the cardigan is recycled."
0931869001,0931869,Chambery blouse,258,Blouse,Garment Upper body,1010001,All over pattern,09,Black,4,Dark,5,Black,1545,Projects Woven Tops,D,Divided,2,Divided,50,Divided Projects,1010,Blouses,"Blouse in a viscose weave with a frill-trimmed Peter Pan collar, buttons down the front, long sleeves with buttoned cuffs and a gathered seam at the waist creating a softly draping peplum."
0931922001,0931922,Cargo slim fit trousers,272,Trousers,Garment Lower body,1010016,Solid,09,Black,4,Dark,5,Black,5686,Trouser,F,Menswear,3,Menswear,20,Contemporary Smart,1009,Trousers,"Ankle-length trousers woven in a viscose blend with covered elastication and a concealed drawstring at the waist and a fake fly. Diagonal side pockets, welt back pockets and legs with creases and easy-access flap pockets. The polyester content of the trousers is partly recycled."
0931970001,0931970,PS VALLETTA LEATHER TRS,272,Trousers,Garment Lower body,1010016,Solid,09,Black,4,Dark,5,Black,1912,Woven Premium,A,Ladieswear,1,Ladieswear,14,Womens Premium,1001,Unknown,Ankle-length trousers in soft leather with a high waist with concealed elastication and a zip in one side. Slim legs with a gentle flare to the hem and a seam above the knee.
0931981001,0931981,ED Jennifer Long Blazer,264,Blazer,Garment Upper body,1010016,Solid,13,Beige,2,Medium Dusty,1,Mole,1929,Outwear,A,Ladieswear,1,Ladieswear,2,H&M+,1007,Outdoor,"Long jacket in a soft weave with notch lapels, flap jetted front pockets, a gently tapered waist and long sleeves. No fasteners. Lining in woven fabric made from recycled polyester."
0932024001,0932024,GINKGO PILE,262,Jacket,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1660,Jersey,A,Ladieswear,1,Ladieswear,6,Womens Casual,1005,Jersey Fancy,"Slightly longer jacket in soft faux shearling with contrasting colour sections in woven fabric. High collar, a zip down the front, gently dropped shoulders and long sleeves with ribbing at the cuffs. Zipped chest pocket and diagonal welt front pockets. Unlined."
0932107001,0932107,PQ MINSK WOOL MIX COAT,263,Coat,Garment Upper body,1010010,Melange,15,Greyish Beige,2,Medium Dusty,1,Mole,1912,Woven Premium,A,Ladieswear,1,Ladieswear,14,Womens Premium,1001,Unknown,"Long, wide coat in a felted wool blend with a large collar, buttons at the front and long, wide sleeves. Diagonal welt front pockets and a pleat at the back. Unlined."
0932117003,0932117,Lewis cardigan,245,Cardigan,Garment Upper body,1010010,Melange,92,Green,1,Dusty Light,20,Khaki green,1610,Knitwear,A,Ladieswear,1,Ladieswear,6,Womens Casual,1003,Knitwear,"Boxy cardigan in a soft knit containing some wool with a V-neck, buttons down the front, dropped shoulders, long sleeves and ribbing at the cuffs and hem. The polyester content of the cardigan is recycled."
0932182001,0932182,Britney Body,256,Bodysuit,Garment Upper body,1010016,Solid,09,Black,4,Dark,5,Black,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,Long-sleeved body in ribbed jersey with a turtle neck and cut-out sections with ties at the back. Concealed press-studs at the crotch.
0932238001,0932238,pro carcoat price item new,263,Coat,Garment Upper body,1010004,Check,13,Beige,2,Medium Dusty,11,Beige,5262,Jacket Smart,F,Menswear,3,Menswear,31,Mens Outerwear,1007,Outdoor,"Car coat in twill with a collar, concealed buttons down the front, diagonal welt front pockets and inner pockets. Long raglan sleeves with an adjustable tab at the cuffs, and a single back vent. Lined in satin made from recycled polyester."
0932243001,0932243,Taylor top,254,Top,Garment Upper body,1010016,Solid,12,Light Beige,1,Dusty Light,11,Beige,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,"Slightly shorter, long-sleeved top in jersey crêpe made from a viscose blend with a round neckline, an opening at the back and a double-layered panel at the hem with ties at the back."
0932243002,0932243,Taylor top,254,Top,Garment Upper body,1010016,Solid,09,Black,4,Dark,5,Black,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,"Slightly shorter, long-sleeved top in jersey crêpe made from a viscose blend with a round neckline, an opening at the back and a double-layered panel at the hem with ties at the back."
0932243003,0932243,Taylor top,254,Top,Garment Upper body,1010016,Solid,53,Dark Pink,4,Dark,4,Pink,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,"Slightly shorter, long-sleeved top in jersey crêpe made from a viscose blend with a round neckline, an opening at the back and a double-layered panel at the hem with ties at the back."
0932365005,0932365,Radical tee,255,T-shirt,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1641,Jersey,A,Ladieswear,1,Ladieswear,18,Womens Trend,1005,Jersey Fancy,"Straight-cut T-shirt in soft cotton jersey. Round neckline with a narrow trim, gathered shoulder seams for a draped effect and short puff sleeves."
0932365006,0932365,Radical tee,255,T-shirt,Garment Upper body,1010016,Solid,09,Black,4,Dark,5,Black,1641,Jersey,A,Ladieswear,1,Ladieswear,18,Womens Trend,1005,Jersey Fancy,"Straight-cut T-shirt in soft cotton jersey. Round neckline with a narrow trim, gathered shoulder seams for a draped effect and short puff sleeves."
0932365008,0932365,Radical tee,255,T-shirt,Garment Upper body,1010016,Solid,81,Light Turquoise,1,Dusty Light,12,Grey,1641,Jersey,A,Ladieswear,1,Ladieswear,18,Womens Trend,1005,Jersey Fancy,"Straight-cut T-shirt in soft cotton jersey. Round neckline with a narrow trim, gathered shoulder seams for a draped effect and short puff sleeves."
0932382001,0932382,PALOMA BELT (new silver),67,Belt,Accessories,1010016,Solid,09,Black,4,Dark,5,Black,3948,Other Accessories,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Waist belt in imitation leather with a round metal buckle decorated with pearly plastic beads. Width 3.5 cm.
0932383001,0932383,Irina,265,Dress,Garment Full body,1010001,All over pattern,09,Black,4,Dark,5,Black,1322,Dress,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1013,Dresses Ladies,"Calf-length dress in a viscose weave with a small, gathered stand-up collar, covered buttons down the front, long raglan sleeves and narrow cuffs with covered buttons. Detachable tie belt at the waist and a softly draping, gently flared skirt. Unlined."
0932383002,0932383,Irina,265,Dress,Garment Full body,1010016,Solid,09,Black,4,Dark,5,Black,1322,Dress,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1013,Dresses Ladies,"Calf-length dress in a viscose weave with a small, gathered stand-up collar, covered buttons down the front, long raglan sleeves and narrow cuffs with covered buttons. Detachable tie belt at the waist and a softly draping, gently flared skirt. Unlined."
0932417001,0932417,Eliza Rhinestone Sweater,252,Sweater,Garment Upper body,1010002,Application/3D,09,Black,4,Dark,5,Black,1647,Tops Knitwear,D,Divided,2,Divided,53,Divided Collection,1003,Knitwear,"Jumper in a soft knit decorated with rhinestone studs. Dropped shoulders, long, wide balloon sleeves with close-fitting cuffs and ribbing around the neckline, cuffs and hem."
0932424001,0932424,MUNICH LS HENLEY,252,Sweater,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,5828,Jersey Fancy,F,Menswear,3,Menswear,20,Contemporary Smart,1005,Jersey Fancy,Long-sleeved Henley top in soft jersey.
0932424002,0932424,MUNICH LS HENLEY,252,Sweater,Garment Upper body,1010016,Solid,12,Light Beige,1,Dusty Light,11,Beige,5828,Jersey Fancy,F,Menswear,3,Menswear,20,Contemporary Smart,1005,Jersey Fancy,Long-sleeved Henley top in soft jersey.
